loop_i,t_sec,rss_mb,total_chefs,active,gone,track_to_chef,_exit,_cam,_pending_exit,_world,_vel,m4_seen_cam1,m4_seen_cam2,m4_seen_cam3,m4_seen_cam4,m4_seen_cam5,m4_seen_cam6,m4_seen_cam7,m4_seen_cam8,m4_seen_cam9,m4_history_cam1,m4_history_cam2,m4_history_cam3,m4_history_cam4,m4_history_cam5,m4_history_cam6,m4_history_cam7,m4_history_cam8,m4_history_cam9,m4_prev_removed_cam1,m4_prev_removed_cam2,m4_prev_removed_cam3,m4_prev_removed_cam4,m4_prev_removed_cam5,m4_prev_removed_cam6,m4_prev_removed_cam7,m4_prev_removed_cam8,m4_prev_removed_cam9
3950,658.33,733.0,1,1,0,24,0,1,1,0,0,4,12,7,12,12,44,6,14,3,2,3,2,3,3,6,1,4,1,0,0,0,1,0,0,0,0,0
4000,666.67,735.4,1,1,0,26,0,1,2,0,0,4,12,8,12,12,44,6,15,3,2,3,3,3,3,6,1,5,1,0,0,0,0,0,0,0,1,0
4050,675.0,736.6,1,1,0,26,0,1,3,0,0,4,12,8,12,12,44,6,15,3,2,3,3,3,3,6,1,5,1,0,0,0,0,0,0,0,0,0
4100,683.33,738.5,1,1,0,26,0,1,2,0,0,4,12,8,12,12,44,6,16,3,2,3,2,3,3,6,1,5,1,0,0,0,0,0,0,0,1,0
4150,691.67,739.1,1,1,0,27,0,1,3,0,0,4,12,9,12,12,44,6,16,3,2,3,3,3,3,6,1,5,1,0,0,0,0,0,0,0,0,0
4200,700.0,745.0,1,1,0,29,0,1,4,0,0,4,12,9,12,12,44,7,17,3,2,3,3,3,3,6,2,6,1,0,0,0,0,0,0,0,1,0
4250,708.33,745.7,1,1,0,28,0,1,3,0,0,4,12,9,12,12,44,8,18,3,2,3,2,3,3,6,2,6,1,0,0,0,0,0,0,0,0,0
4300,716.67,751.4,1,1,0,26,0,1,1,0,0,4,12,9,12,12,44,8,19,3,2,3,2,3,3,6,1,5,1,0,0,0,0,0,0,0,0,0
4350,725.0,748.9,1,1,0,27,0,1,2,0,0,4,12,9,13,12,45,8,19,3,2,3,2,3,3,7,1,5,1,0,0,0,0,0,0,0,0,0
4400,733.33,729.5,1,1,0,27,0,1,2,0,0,4,12,9,13,12,45,8,20,3,2,3,2,3,3,6,1,6,1,0,0,0,0,0,0,0,0,0
4450,741.67,734.1,1,1,0,26,0,1,1,0,0,4,12,9,13,12,45,8,20,3,2,3,2,3,3,6,1,5,1,0,0,0,0,0,0,0,0,0
4500,750.0,726.1,1,1,0,28,0,1,2,0,0,5,12,9,13,12,45,8,21,3,3,3,2,3,3,6,1,6,1,0,0,0,0,0,0,0,0,0
4550,758.33,727.6,1,1,0,29,0,1,3,0,0,5,12,9,13,12,46,8,21,3,3,3,2,3,3,7,1,6,1,0,0,0,0,0,0,0,0,0
4600,766.67,743.6,1,1,0,33,0,1,6,0,0,5,12,10,13,12,47,9,24,3,3,3,3,3,3,7,2,8,1,0,0,0,0,0,0,0,0,0
4650,775.0,726.0,1,1,0,29,0,1,3,0,0,5,12,10,14,12,47,9,25,3,3,3,2,4,3,6,1,6,1,0,0,0,0,0,0,0,0,0
