bound_rate,c0,c_star,cameras,chef_switch_rate,chef_switches,chef_switches_interleaved,clip_id,duration_s,exclusive,first_bound_fid,frac_iou_ge_075,gap_band,gaps_s,ghost_box_rate,ghost_track_rate,gt_id,handoff_type,l2_detail_k1,l2_detail_k5,l2_n_pairs_dropped_k1,l2_n_pairs_dropped_k5,l2_n_pairs_k1,l2_n_pairs_k5,l2_p_reacquire_ci_k1,l2_p_reacquire_ci_k5,l2_p_reacquire_k1,l2_p_reacquire_k5,l3_chef_per_camera,l3_n_camera_pairs,l3_n_chef_ids_per_camera,l3_n_pairs_dropped,l3_n_pairs_usable,l3_n_simul_frames,l3_p_handoff,l3_p_handoff_ci,l3_p_simul_agree,l3_p_simul_agree_ci,level,majority_tie,mean_iou,mean_iou_matched,median_iou,n_B,n_boxes,n_chefs_created_before_target_bound,n_distinct_chef_ids,n_ghost_boxes,n_ghost_tracks,n_matched,n_other_ids,n_sampled_cells,n_target_cells,n_track_ids,n_tracks_in_window,p10_iou,p90_iou,p_chef_shared_with_other_box,p_continuity,p_continuity_ci,p_exclusive,p_exclusive_ci,p_majority,p_majority_ci,recall_ci,recall_target,rule,seq,stride,track_switch_rate,track_switches,visibility
1.0,1,1,camera_7,0.0,0,0,L1-seq_020-c7-9-013530,12.333,True,13530,1.0,,,0.0,0.0,9,,,,,,,,,,,,,,,,,,,,,,L1,False,0.9256,0.9256,0.9342,371,371,0,1,0,0,371,0,371,371,1,1,0.8918,0.9509,0.0,1.0,"(0.9898, 1.0)",,"(None, None)",1.0,"(0.9898, 1.0)","(0.9898, 1.0)",1.0,L1,seq_020,1,0.0,0,1.0
1.0,1,1,camera_4,0.0,0,0,L1-seq_026-c4-10-004865,10.667,True,4865,1.0,,,0.0,0.0,10,,,,,,,,,,,,,,,,,,,,,,L1,False,0.9691,0.9691,0.9754,65,65,0,1,0,0,65,0,65,65,1,1,0.9477,0.9824,0.0,1.0,"(0.9442, 1.0)",,"(None, None)",1.0,"(0.9442, 1.0)","(0.9442, 1.0)",1.0,L1,seq_026,5,0.0,0,1.0
1.0,1,1,camera_4,0.0,0,0,L1-seq_026-c4-10-004865,10.667,True,4865,1.0,,,0.0,0.0,10,,,,,,,,,,,,,,,,,,,,,,L1,False,0.97,0.97,0.9743,321,321,0,1,0,0,321,0,321,321,1,1,0.9512,0.9826,0.0,1.0,"(0.9882, 1.0)",,"(None, None)",1.0,"(0.9882, 1.0)","(0.9882, 1.0)",1.0,L1,seq_026,1,0.0,0,1.0
1.0,1,1,camera_6,0.0,0,0,L1-seq_000-c6-10-001710,11.833,True,1710,1.0,,,0.3143,0.5,10,,,,,,,,,,,,,,,,,,,,,,L1,False,0.9561,0.9561,0.9626,72,105,0,1,33,1,72,0,72,72,1,2,0.9225,0.9815,0.0,1.0,"(0.9493, 1.0)",,"(None, None)",1.0,"(0.9493, 1.0)","(0.9493, 1.0)",1.0,L1,seq_000,5,0.0,0,1.0
1.0,1,1,camera_6,0.0,0,0,L1-seq_000-c6-10-001710,11.833,True,1710,1.0,,,0.3539,0.6667,10,,,,,,,,,,,,,,,,,,,,,,L1,False,0.9568,0.9568,0.9646,356,551,0,1,195,2,356,0,356,356,1,3,0.9184,0.983,0.0,1.0,"(0.9893, 1.0)",,"(None, None)",1.0,"(0.9893, 1.0)","(0.9893, 1.0)",1.0,L1,seq_000,1,0.0,0,1.0
0.3636,1,1,camera_2,0.0,0,0,L1-seq_024-c2-11-015940,12.667,True,15940,0.1818,,,0.4043,0.5,11,,,,,,,,,,,,,,,,,,,,,,L1,False,0.2733,0.7515,0.0,28,47,0,1,19,1,28,0,77,77,1,2,0.0,0.8021,0.0,1.0,"(0.8794, 1.0)",,"(None, None)",1.0,"(0.8794, 1.0)","(0.2651, 0.4752)",0.3636,L1,seq_024,5,0.0,0,1.0
0.3202,1,4,camera_2,0.0744,9,9,L1-seq_024-c2-11-015940,12.667,True,15940,0.1785,,,0.6694,0.7,11,,,,,,,,,,,,,,,,,,,,,,L1,False,0.2436,0.7608,0.0,122,369,0,5,247,7,122,0,381,381,5,10,0.0,0.8104,0.0,0.2541,"(0.1852, 0.338)",,"(None, None)",0.3525,"(0.2734, 0.4406)","(0.2754, 0.3687)",0.3202,L1,seq_024,1,0.0744,9,1.0
1.0,1,1,camera_7,0.0,0,0,L1-seq_026-c7-11-004120,8.667,True,4120,0.8679,,,0.0,0.0,11,,,,,,,,,,,,,,,,,,,,,,L1,False,0.8905,0.8905,0.936,53,53,0,1,0,0,53,0,53,53,1,1,0.6787,0.9795,0.0,1.0,"(0.9324, 1.0)",,"(None, None)",1.0,"(0.9324, 1.0)","(0.9324, 1.0)",1.0,L1,seq_026,5,0.0,0,1.0
0.9962,1,1,camera_7,0.0077,2,2,L1-seq_026-c7-11-004120,8.667,True,4120,0.8659,,,0.0877,0.6667,11,,,,,,,,,,,,,,,,,,,,,,L1,False,0.8924,0.8958,0.9368,260,285,0,2,25,2,260,0,261,261,2,3,0.6684,0.9783,0.0,0.9962,"(0.9785, 0.9993)",,"(None, None)",0.9962,"(0.9785, 0.9993)","(0.9786, 0.9993)",0.9962,L1,seq_026,1,0.0077,2,1.0
0.9529,1,1,camera_1,0.0,0,0,L1-seq_020-c1-12-003195,14.0,True,3205,0.8824,,,0.0471,0.0,12,,,,,,,,,,,,,,,,,,,,,,L1,False,0.8705,0.9135,0.9429,81,85,0,1,4,0,81,0,85,85,1,1,0.7102,0.9809,0.0,1.0,"(0.9547, 1.0)",,"(None, None)",1.0,"(0.9547, 1.0)","(0.8852, 0.9816)",0.9529,L1,seq_020,5,0.0,0,1.0
